============================= test session starts =============================
platform win32 -- Python 3.11.8, pytest-9.0.2, pluggy-1.6.0 -- C:\Users\Nemo\AppData\Local\Programs\Python\Python311\python.exe
cachedir: .pytest_cache
rootdir: D:\Projet_streamlit\assistant_matanne
configfile: pytest.ini
plugins: anyio-4.12.1, asyncio-1.3.0, cov-7.0.0
tests/services/test_inventaire_sqlite_int.py::TestCalculerStatut::test_statut_critique PASSED [ 29%]
tests/services/test_inventaire_sqlite_int.py::TestCalculerStatut::test_statut_stock_bas PASSED [ 30%]
tests/services/test_inventaire_sqlite_int.py::TestCalculerStatut::test_statut_peremption_proche PASSED [ 30%]
tests/services/test_inventaire_sqlite_int.py::TestCalculerStatut::test_peremption_priorite_sur_stock PASSED [ 30%]
tests/services/test_inventaire_sqlite_int.py::TestJoursAvantPeremption::test_sans_date PASSED [ 30%]
tests/services/test_inventaire_sqlite_int.py::TestJoursAvantPeremption::test_date_future PASSED [ 31%]
tests/services/test_inventaire_sqlite_int.py::TestJoursAvantPeremption::test_date_passee PASSED [ 31%]
tests/services/test_inventaire_sqlite_int.py::TestHistorique::test_get_historique_vide PASSED [ 31%]
tests/services/test_inventaire_sqlite_int.py::TestHistorique::test_get_historique_avec_limit PASSED [ 31%]
tests/services/test_inventaire_sqlite_int.py::TestHistorique::test_get_historique_avec_article_id PASSED [ 32%]
tests/services/test_recipe_import_integration.py::TestImportedIngredient::test_creation_valide PASSED [ 32%]
tests/services/test_recipe_import_integration.py::TestImportedIngredient::test_avec_quantite PASSED [ 32%]
tests/services/test_recipe_import_integration.py::TestImportedIngredient::test_quantite_decimal PASSED [ 32%]
tests/services/test_recipe_import_integration.py::TestImportedIngredient::test_unite_vide_par_defaut PASSED [ 33%]
tests/services/test_recipe_import_integration.py::TestImportedRecipe::test_creation_minimale PASSED [ 33%]
tests/services/test_recipe_import_integration.py::TestImportedRecipe::test_creation_complete PASSED [ 33%]
tests/services/test_recipe_import_integration.py::TestImportedRecipe::test_ingredients_liste_vide_par_defaut PASSED [ 34%]
tests/services/test_recipe_import_integration.py::TestImportedRecipe::test_etapes_liste_vide_par_defaut PASSED [ 34%]
tests/services/test_recipe_import_integration.py::TestImportedRecipe::test_avec_ingredients PASSED [ 34%]
tests/services/test_recipe_import_integration.py::TestImportedRecipe::test_validation_nom_min_length FAILED [ 34%]
tests/services/test_recipe_import_integration.py::TestImportResult::test_creation_par_defaut PASSED [ 35%]
tests/services/test_recipe_import_integration.py::TestImportResult::test_result_succes PASSED [ 35%]
tests/services/test_recipe_import_integration.py::TestImportResult::test_result_echec PASSED [ 35%]
tests/services/test_recipe_import_integration.py::TestRecipeParserCleanText::test_clean_text_none PASSED [ 35%]
tests/services/test_recipe_import_integration.py::TestRecipeParserCleanText::test_clean_text_empty PASSED [ 36%]
tests/services/test_recipe_import_integration.py::TestRecipeParserCleanText::test_clean_text_whitespace PASSED [ 36%]
tests/services/test_recipe_import_integration.py::TestRecipeParserCleanText::test_clean_text_newlines PASSED [ 36%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseDuration::test_parse_duration_empty PASSED [ 37%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseDuration::test_parse_duration_minutes PASSED [ 37%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseDuration::test_parse_duration_hours PASSED [ 37%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseDuration::test_parse_duration_hours_and_minutes PASSED [ 37%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseDuration::test_parse_duration_just_number PASSED [ 38%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseDuration::test_parse_duration_minutes_variant PASSED [ 38%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseDuration::test_parse_duration_m_shortcut PASSED [ 38%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParsePortions::test_parse_portions_empty PASSED [ 38%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParsePortions::test_parse_portions_number PASSED [ 39%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParsePortions::test_parse_portions_min PASSED [ 39%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParsePortions::test_parse_portions_max PASSED [ 39%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParsePortions::test_parse_portions_just_number PASSED [ 40%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseIngredient::test_parse_ingredient_empty PASSED [ 40%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseIngredient::test_parse_ingredient_simple PASSED [ 40%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseIngredient::test_parse_ingredient_avec_quantite_unite PASSED [ 40%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseIngredient::test_parse_ingredient_nombre_et_nom PASSED [ 41%]
tests/services/test_recipe_import_integration.py::TestRecipeParserParseIngredient::test_parse_ingredient_decimal PASSED [ 41%]
tests/services/test_recipe_import_integration.py::TestMarmitonParser::test_parse_with_title_in_html PASSED [ 41%]
tests/services/test_recipe_import_integration.py::TestMarmitonParser::test_calculate_confidence_empty PASSED [ 41%]
tests/services/test_recipe_import_integration.py::TestCuisineAZParser::test_parse_attempts_extraction PASSED [ 42%]
tests/services/test_recipe_import_integration.py::TestCuisineAZParser::test_calculate_confidence_empty PASSED [ 42%]
tests/services/test_recipe_import_integration.py::TestGenericRecipeParser::test_parse_attempts_extraction PASSED [ 42%]
tests/services/test_recipe_import_integration.py::TestGenericRecipeParser::test_calculate_confidence_with_ingredients PASSED [ 42%]
tests/services/test_recipe_import_integration.py::TestRecipeImportService::test_service_init PASSED [ 43%]
tests/services/test_recipe_import_integration.py::TestRecipeImportService::test_factory_function PASSED [ 43%]
tests/services/test_recipe_import_integration.py::TestRecipeImportService::test_get_parser_for_marmiton PASSED [ 43%]
tests/services/test_recipe_import_integration.py::TestRecipeImportService::test_get_parser_for_cuisineaz PASSED [ 44%]
tests/services/test_recipe_import_integration.py::TestRecipeImportService::test_get_parser_for_unknown PASSED [ 44%]
tests/services/test_recipe_import_integration.py::TestRecipeImportService::test_has_import_from_url PASSED [ 44%]
tests/services/test_recipe_import_integration.py::TestRecipeImportService::test_has_import_batch PASSED [ 44%]
tests/services/test_recipe_import_integration.py::TestImportFromUrlMocked::test_import_returns_import_result PASSED [ 45%]
tests/services/test_recipe_import_integration.py::TestImportFromUrlMocked::test_import_with_invalid_url PASSED [ 45%]
tests/services/test_recipe_import_integration.py::TestServiceUtilities::test_service_has_parsers PASSED [ 45%]
tests/services/test_recipe_import_integration.py::TestServiceUtilities::test_service_inherits_from_base PASSED [ 45%]
tests/services/test_services_comprehensive.py::TestRapportsSchemas::test_rapport_stocks_creation_complete PASSED [ 46%]
tests/services/test_services_comprehensive.py::TestRapportsSchemas::test_rapport_stocks_defaults PASSED [ 46%]
tests/services/test_services_comprehensive.py::TestRapportsSchemas::test_rapport_budget_creation_complete PASSED [ 46%]
tests/services/test_services_comprehensive.py::TestRapportsSchemas::test_rapport_budget_defaults PASSED [ 47%]
tests/services/test_services_comprehensive.py::TestRapportsSchemas::test_analyse_gaspillage_creation PASSED [ 47%]
tests/services/test_services_comprehensive.py::TestRapportsSchemas::test_rapport_planning_creation PASSED [ 47%]
tests/services/test_services_comprehensive.py::TestRapportsPDFServiceInit::test_service_init PASSED [ 47%]
tests/services/test_services_comprehensive.py::TestRapportsPDFServiceInit::test_service_has_methods PASSED [ 48%]
tests/services/test_services_comprehensive.py::TestRapportsPDFServiceWithDB::test_generer_donnees_rapport_stocks_empty PASSED [ 48%]
tests/services/test_services_comprehensive.py::TestRapportsPDFServiceWithDB::test_generer_donnees_rapport_budget_empty PASSED [ 48%]
tests/services/test_services_comprehensive.py::TestRapportsPDFServiceWithDB::test_generer_analyse_gaspillage_empty PASSED [ 48%]
tests/services/test_services_comprehensive.py::TestSuggestionsIASchemas::test_profil_culinaire_creation PASSED [ 49%]
tests/services/test_services_comprehensive.py::TestSuggestionsIASchemas::test_profil_culinaire_defaults PASSED [ 49%]
tests/services/test_services_comprehensive.py::TestSuggestionsIASchemas::test_contexte_suggestion_creation PASSED [ 49%]
tests/services/test_services_comprehensive.py::TestSuggestionsIASchemas::test_contexte_suggestion_defaults PASSED [ 50%]
tests/services/test_services_comprehensive.py::TestSuggestionsIASchemas::test_suggestion_recette_creation PASSED [ 50%]
tests/services/test_services_comprehensive.py::TestSuggestionsIASchemas::test_suggestion_recette_defaults PASSED [ 50%]
tests/services/test_services_comprehensive.py::TestSuggestionsIAServiceInit::test_service_init PASSED [ 50%]
tests/services/test_services_comprehensive.py::TestSuggestionsIAServiceInit::test_service_has_methods PASSED [ 51%]
tests/services/test_services_comprehensive.py::TestSuggestionsIAServiceWithDB::test_analyser_profil_culinaire_empty PASSED [ 51%]
tests/services/test_services_comprehensive.py::TestBackupSchemasComplete::test_backup_config_all_fields PASSED [ 51%]
tests/services/test_services_comprehensive.py::TestBackupSchemasComplete::test_backup_metadata_all_fields PASSED [ 51%]
tests/services/test_services_comprehensive.py::TestBackupServiceInit::test_service_init PASSED [ 52%]
tests/services/test_services_comprehensive.py::TestBackupServiceInit::test_service_has_backup_methods PASSED [ 52%]
tests/services/test_services_comprehensive.py::TestWeatherSchemas::test_type_alerte_meteo_enum PASSED [ 52%]
tests/services/test_services_comprehensive.py::TestWeatherSchemas::test_niveau_alerte_enum PASSED [ 52%]
tests/services/test_services_comprehensive.py::TestWeatherSchemas::test_meteo_jour_creation PASSED [ 53%]
tests/services/test_services_comprehensive.py::TestWeatherGardenServiceInit::test_service_init PASSED [ 53%]
tests/services/test_services_comprehensive.py::TestWeatherGardenServiceInit::test_service_has_weather_methods PASSED [ 53%]
tests/services/test_services_comprehensive.py::TestBarcodeServiceMethods::test_service_init PASSED [ 54%]
tests/services/test_services_comprehensive.py::TestBarcodeServiceMethods::test_valider_barcode_valid_ean13 PASSED [ 54%]
tests/services/test_services_comprehensive.py::TestBarcodeServiceMethods::test_scanner_code_method_exists PASSED [ 54%]
tests/services/test_services_comprehensive.py::TestBatchCookingServiceMethods::test_service_init PASSED [ 54%]
tests/services/test_services_comprehensive.py::TestBatchCookingServiceMethods::test_service_has_generer_session PASSED [ 55%]
tests/services/test_services_comprehensive.py::TestInventaireServiceMethods::test_service_init PASSED [ 55%]
tests/services/test_services_comprehensive.py::TestInventaireServiceMethods::test_lister_articles_empty PASSED [ 55%]
tests/services/test_services_comprehensive.py::TestInventaireServiceWithData::test_ajouter_article PASSED [ 55%]
tests/services/test_services_comprehensive.py::TestRecettesServiceMethods::test_service_init PASSED [ 56%]
tests/services/test_services_comprehensive.py::TestRecettesServiceMethods::test_lister_recettes_empty PASSED [ 56%]
tests/services/test_services_comprehensive.py::TestRecettesServiceWithData::test_creer_recette PASSED [ 56%]
tests/services/test_services_comprehensive.py::TestPlanningServiceMethods::test_service_init PASSED [ 57%]
tests/services/test_services_comprehensive.py::TestPlanningServiceMethods::test_lister_plannings_empty PASSED [ 57%]
tests/services/test_services_comprehensive.py::TestCoursesServiceMethods::test_service_init PASSED [ 57%]
tests/services/test_services_comprehensive.py::TestCoursesServiceMethods::test_lister_listes_empty PASSED [ 57%]
tests/services/test_services_comprehensive.py::TestBudgetServiceMethods::test_service_init PASSED [ 58%]
tests/services/test_services_comprehensive.py::TestBudgetServiceMethods::test_service_has_depense_methods PASSED [ 58%]
tests/services/test_services_comprehensive.py::TestNotificationsServiceComplete::test_type_alerte_all_values PASSED [ 58%]
tests/services/test_services_comprehensive.py::TestNotificationsServiceComplete::test_notification_all_fields PASSED [ 58%]
tests/services/test_services_comprehensive.py::TestNotificationsServiceComplete::test_notification_service_creer_stock_critique PASSED [ 59%]
tests/services/test_services_comprehensive.py::TestNotificationsServiceComplete::test_notification_service_creer_stock_bas PASSED [ 59%]
tests/services/test_services_comprehensive.py::TestNotificationsServiceComplete::test_notification_service_lister_notifications PASSED [ 59%]
tests/services/test_services_comprehensive.py::TestNotificationsServiceComplete::test_notification_service_marquer_lue PASSED [ 60%]
tests/services/test_services_comprehensive.py::TestAuthServiceComplete::test_service_init PASSED [ 60%]
tests/services/test_services_comprehensive.py::TestAuthServiceComplete::test_service_has_auth_methods PASSED [ 60%]
tests/services/test_services_comprehensive.py::TestCalendarSyncServiceComplete::test_import_module PASSED [ 60%]
tests/services/test_services_comprehensive.py::TestCalendarSyncServiceComplete::test_service_exists PASSED [ 61%]
tests/services/test_services_comprehensive.py::TestPredictionsServiceComplete::test_service_init PASSED [ 61%]
tests/services/test_services_comprehensive.py::TestPredictionsServiceComplete::test_service_has_prediction_methods PASSED [ 61%]
tests/services/test_services_coverage_80_part15.py::TestRapportsPDFExecution::test_generer_donnees_rapport_stocks_empty PASSED [ 61%]
tests/services/test_services_coverage_80_part15.py::TestRapportsPDFExecution::test_generer_donnees_rapport_stocks_with_items PASSED [ 62%]
tests/services/test_services_coverage_80_part15.py::TestRapportBudgetExecution::test_rapport_budget_creation PASSED [ 62%]
tests/services/test_services_coverage_80_part15.py::TestBudgetServiceExecution::test_budget_service_init PASSED [ 62%]
tests/services/test_services_coverage_80_part15.py::TestBudgetServiceExecution::test_budget_service_method_exists PASSED [ 62%]
tests/services/test_services_coverage_80_part15.py::TestInventaireServiceExecution::test_inventaire_service_init PASSED [ 63%]
tests/services/test_services_coverage_80_part15.py::TestInventaireServiceExecution::test_inventaire_service_model PASSED [ 63%]
tests/services/test_services_coverage_80_part15.py::TestPlanningServiceExecution::test_planning_service_init PASSED [ 63%]
tests/services/test_services_coverage_80_part15.py::TestCoursesServiceExecution::test_courses_service_init PASSED [ 64%]
tests/services/test_services_coverage_80_part15.py::TestNotificationsServiceExecution::test_notifications_service_init PASSED [ 64%]
tests/services/test_services_coverage_80_part15.py::TestBarcodeServiceExecution::test_barcode_service_init PASSED [ 64%]
tests/services/test_services_coverage_80_part15.py::TestActionHistoryExecution::test_action_history_service_init PASSED [ 64%]
tests/services/test_services_coverage_80_part15.py::TestPredictionsServiceExecution::test_predictions_service_init PASSED [ 65%]
tests/services/test_services_coverage_80_part15.py::TestBatchCookingExecution::test_batch_cooking_service_init PASSED [ 65%]
tests/services/test_services_coverage_80_part15.py::TestPDFExportExecution::test_pdf_export_module_exists PASSED [ 65%]
tests/services/test_services_coverage_80_part15.py::TestOpenfoodfactsExecution::test_openfoodfacts_service_init PASSED [ 65%]
tests/services/test_services_coverage_80_part15.py::TestIOServiceExecution::test_io_service_init PASSED [ 66%]
tests/services/test_services_coverage_80_part15.py::TestIOServiceExecution::test_io_service_format_json PASSED [ 66%]
tests/services/test_services_coverage_80_part15.py::TestCalendarSyncExecution::test_sync_result_with_data PASSED [ 66%]
tests/services/test_services_coverage_80_part15.py::TestCoursesIntelligentesExecution::test_courses_intelligentes_init PASSED [ 67%]
tests/services/test_services_coverage_80_part15.py::TestFactureOCRExecution::test_facture_ocr_init PASSED [ 67%]
tests/services/test_services_coverage_80_part16.py::TestBaseServiceMethodsCRUD::test_count_executes PASSED [ 67%]
tests/services/test_services_coverage_80_part16.py::TestBaseServiceMethodsCRUD::test_delete_executes_success PASSED [ 67%]
tests/services/test_services_coverage_80_part16.py::TestBaseServiceMethodsCRUD::test_delete_executes_not_found PASSED [ 68%]
